sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
8.047365045668961,2.8,4.7,1.2
7.261187196750725,3.8,1.7,0.3
9.876452894786468,2.6,6.9,2.3
8.405424574264861,2.9,4.5,1.5
8.564114095065882,2.8,4.8,1.4
7.632283073026097,3.4,1.5,0.4
7.809693470466061,2.9,3.6,1.3
9.10528859418028,3.1,5.1,2.3
8.988647857136268,2.2,4.5,1.5
8.475090524468197,2.7,3.9,1.2
9.027402114900745,3.2,5.1,2.0
6.753597044489431,3.0,1.4,0.1
7.839393000508763,3.5,1.3,0.2
6.165559599097172,3.1,1.5,0.1
7.215890675507893,3.8,1.5,0.3
8.51643725466515,3.3,4.7,1.6
8.46145673938211,3.0,5.8,2.2
7.466148821818276,2.5,3.9,1.1
7.480777052432874,2.8,4.5,1.3
8.561329003317537,2.8,5.6,2.2
6.416732715238149,3.2,1.6,0.2
8.141610471608576,3.0,4.9,1.8
6.799659801150446,3.4,1.6,0.4
8.66977628167336,2.8,5.6,2.1
10.46208329576279,3.8,6.4,2.0
8.743738214253108,3.0,5.2,2.3
8.575975631054158,2.5,5.8,1.8
9.00071960406937,3.2,5.9,2.3
6.5682227704599025,3.0,1.4,0.3
6.773100743015739,3.1,1.6,0.2
